No Label_Name                            R   G   B   A
1150    ctx_lh_S_circular_insula_inferior               221 20  220 0
1151    ctx_lh_S_circular_insula_superior               61  220 220 0
1152    ctx_lh_S_collateral_transverse_ant              100 200 200 0
1153    ctx_lh_S_collateral_transverse_post             10  200 200 0
1154    ctx_lh_S_frontal_inferior                       221 220 20  0
1155    ctx_lh_S_frontal_middle                         141 20  100 0
1156    ctx_lh_S_frontal_superior                       61  220 100 0
1157    ctx_lh_S_frontomarginal                         21  220 60  0
1158    ctx_lh_S_intermedius_primus_Jensen              141 60  20  0
1159    ctx_lh_S_intraparietal_and_Parietal_transverse  143 20  220 0
1160    ctx_lh_S_occipital_anterior                     61  20  180 0
1161    ctx_lh_S_occipital_middle_and_Lunatus           101 60  220 0
1162    ctx_lh_S_occipital_superior_and_transversalis   21  20  140 0
1163    ctx_lh_S_occipito_temporal_lateral              221 140 20  0
1164    ctx_lh_S_occipito_temporal_medial_and_S_Lingual 141 100 220 0
1165    ctx_lh_S_orbital_H_shapped                      101 20  20  0
1166    ctx_lh_S_orbital_lateral                        221 100 20  0
1167    ctx_lh_S_orbital_medial_Or_olfactory            181 200 20  0
1168    ctx_lh_S_paracentral                            21  180 140 0
1169    ctx_lh_S_parieto_occipital                      101 100 180 0
1170    ctx_lh_S_pericallosal                           181 220 20  0
1171    ctx_lh_S_postcentral                            21  140 200 0
1172    ctx_lh_S_precentral_Inferior_part               21  20  240 0
1173    ctx_lh_S_precentral_Superior_part               21  20  200 0
1174    ctx_lh_S_subcentral_ant                         61  180 60  0
1175    ctx_lh_S_subcentral_post                        61  180 250 0
1176    ctx_lh_S_suborbital                             21  20  60  0
1177    ctx_lh_S_subparietal                            101 60  60  0
1178    ctx_lh_S_supracingulate                         21  220 220 0
1179    ctx_lh_S_temporal_inferior                      21  180 180 0
1180    ctx_lh_S_temporal_superior                      223 220 60  0
1181    ctx_lh_S_temporal_transverse                    221 60  60  0
2100    ctx_rh_Unknown                                  0   0   0   0
2101    ctx_rh_Corpus_callosum                          50  50  50  0
2102    ctx_rh_G_and_S_Insula_ONLY_AVERAGE              180 20  30  0
2103    ctx_rh_G_cingulate_Isthmus                      60  25  25  0
2104    ctx_rh_G_cingulate_Main_part                    25  60  60  0
2105    ctx_rh_G_cuneus                                 180 20  20  0
2106    ctx_rh_G_frontal_inf_Opercular_part             220 20  100 0
2107    ctx_rh_G_frontal_inf_Orbital_part               140 60  60  0
2108    ctx_rh_G_frontal_inf_Triangular_part            180 220 140 0
2109    ctx_rh_G_frontal_middle                         140 100 180 0
2110    ctx_rh_G_frontal_superior                       180 20  140 0
2111    ctx_rh_G_frontomarginal                         140 20  140 0
2112    ctx_rh_G_insular_long                           21  10  10  0
2113    ctx_rh_G_insular_short                          225 140 140 0
2114    ctx_rh_G_and_S_occipital_inferior               23  60  180 0
2115    ctx_rh_G_occipital_middle                       180 60  180 0
2116    ctx_rh_G_occipital_superior                     20  220 60  0
2117    ctx_rh_G_occipit_temp_lat_Or_fusiform           60  20  140 0
2118    ctx_rh_G_occipit_temp_med_Lingual_part          220 180 140 0
2119    ctx_rh_G_occipit_temp_med_Parahippocampal_part  65  100 20  0
2120    ctx_rh_G_orbital                                220 60  20  0
2121    ctx_rh_G_paracentral                            60  100 60  0
2122    ctx_rh_G_parietal_inferior_Angular_part         20  60  220 0
2123    ctx_rh_G_parietal_inferior_Supramarginal_part   100 100 60  0
2124    ctx_rh_G_parietal_superior                      220 180 220 0
2125    ctx_rh_G_postcentral                            20  180 140 0
2126    ctx_rh_G_precentral                             60  140 180 0
2127    ctx_rh_G_precuneus                              25  20  140 0
2128    ctx_rh_G_rectus                                 20  60  100 0
2129    ctx_rh_G_subcallosal                            60  220 20  0
2130    ctx_rh_G_subcentral                             60  20  220 0
2131    ctx_rh_G_temporal_inferior                      220 220 100 0
2132    ctx_rh_G_temporal_middle                        180 60  60  0
2133    ctx_rh_G_temp_sup_G_temp_transv_and_interm_S    60  60  220 0
2134    ctx_rh_G_temp_sup_Lateral_aspect                220 60  220 0
2135    ctx_rh_G_temp_sup_Planum_polare                 65  220 60  0
2136    ctx_rh_G_temp_sup_Planum_tempolare              25  140 20  0
2137    ctx_rh_G_and_S_transverse_frontopolar           13  0   250 0
2138    ctx_rh_Lat_Fissure_ant_sgt_ramus_horizontal     61  20  220 0
2139    ctx_rh_Lat_Fissure_ant_sgt_ramus_vertical       61  20  60  0
2140    ctx_rh_Lat_Fissure_post_sgt                     61  60  100 0
2141    ctx_rh_Medial_wall                              25  25  25  0
2142    ctx_rh_Pole_occipital                           140 20  60  0
2143    ctx_rh_Pole_temporal                            220 180 20  0
2144    ctx_rh_S_calcarine                              63  180 180 0
2145    ctx_rh_S_central                                221 20  10  0
2146    ctx_rh_S_central_insula                         21  220 20  0
2147    ctx_rh_S_cingulate_Main_part_and_Intracingulate 183 100 20  0
2148    ctx_rh_S_cingulate_Marginalis_part              221 20  100 0
2149    ctx_rh_S_circular_insula_anterior               221 60  140 0
2150    ctx_rh_S_circular_insula_inferior               221 20  220 0
2151    ctx_rh_S_circular_insula_superior               61  220 220 0
2152    ctx_rh_S_collateral_transverse_ant              100 200 200 0
2153    ctx_rh_S_collateral_transverse_post             10  200 200 0
2154    ctx_rh_S_frontal_inferior                       221 220 20  0
2155    ctx_rh_S_frontal_middle                         141 20  100 0
2156    ctx_rh_S_frontal_superior                       61  220 100 0
2157    ctx_rh_S_frontomarginal                         21  220 60  0
2158    ctx_rh_S_intermedius_primus_Jensen              141 60  20  0
2159    ctx_rh_S_intraparietal_and_Parietal_transverse  143 20  220 0
2160    ctx_rh_S_occipital_anterior                     61  20  180 0
2161    ctx_rh_S_occipital_middle_and_Lunatus           101 60  220 0
2162    ctx_rh_S_occipital_superior_and_transversalis   21  20  140 0
2163    ctx_rh_S_occipito_temporal_lateral              221 140 20  0
2164    ctx_rh_S_occipito_temporal_medial_and_S_Lingual 141 100 220 0
2165    ctx_rh_S_orbital_H_shapped                      101 20  20  0
2166    ctx_rh_S_orbital_lateral                        221 100 20  0
2167    ctx_rh_S_orbital_medial_Or_olfactory            181 200 20  0
2168    ctx_rh_S_paracentral                            21  180 140 0
2169    ctx_rh_S_parieto_occipital                      101 100 180 0
2170    ctx_rh_S_pericallosal                           181 220 20  0
2171    ctx_rh_S_postcentral                            21  140 200 0
2172    ctx_rh_S_precentral_Inferior_part               21  20  240 0
2173    ctx_rh_S_precentral_Superior_part               21  20  200 0
2174    ctx_rh_S_subcentral_ant                         61  180 60  0
2175    ctx_rh_S_subcentral_post                        61  180 250 0
2176    ctx_rh_S_suborbital                             21  20  60  0
2177    ctx_rh_S_subparietal                            101 60  60  0
2178    ctx_rh_S_supracingulate                         21  220 220 0
2179    ctx_rh_S_temporal_inferior                      21  180 180 0
2180    ctx_rh_S_temporal_superior                      223 220 60  0
2181    ctx_rh_S_temporal_transverse                    221 60  60  0
2200    ctx_rh_G_cingulate_caudal_ACC                   25  60  61  0
2201    ctx_rh_G_cingulate_rostral_ACC                  25  90  60  0
2202    ctx_rh_G_cingulate_posterior                    25  120 60  0
2205    ctx_rh_S_cingulate_caudal_ACC                   25  150 60  0
2206    ctx_rh_S_cingulate_rostral_ACC                  25  180 60  0
2207    ctx_rh_S_cingulate_posterior                    25  210 60  0
2210    ctx_rh_S_pericallosal_caudal                    25  150 90  0
2211    ctx_rh_S_pericallosal_rostral                   25  180 90  0
2212    ctx_rh_S_pericallosal_posterior                 25  210 90  0
3100    wm_lh_Unknown                                   0   0   0   0
3101    wm_lh_Corpus_callosum                           50  50  50  0
3102    wm_lh_G_and_S_Insula_ONLY_AVERAGE               180 20  30  0
3103    wm_lh_G_cingulate_Isthmus                       60  25  25  0
3104    wm_lh_G_cingulate_Main_part                     25  60  60  0
3105    wm_lh_G_cuneus                                  180 20  20  0
3106    wm_lh_G_frontal_inf_Opercular_part              220 20  100 0
3107    wm_lh_G_frontal_inf_Orbital_part                140 60  60  0
3108    wm_lh_G_frontal_inf_Triangular_part             180 220 140 0
3109    wm_lh_G_frontal_middle                          140 100 180 0
3110    wm_lh_G_frontal_superior                        180 20  140 0
3111    wm_lh_G_frontomarginal                          140 20  140 0
3112    wm_lh_G_insular_long                            21  10  10  0
3113    wm_lh_G_insular_short                           225 140 140 0
3114    wm_lh_G_and_S_occipital_inferior                23  60  180 0
3115    wm_lh_G_occipital_middle                        180 60  180 0
3116    wm_lh_G_occipital_superior                      20  220 60  0
3117    wm_lh_G_occipit_temp_lat_Or_fusiform            60  20  140 0
3118    wm_lh_G_occipit_temp_med_Lingual_part           220 180 140 0
3119    wm_lh_G_occipit_temp_med_Parahippocampal_part   65  100 20  0
3120    wm_lh_G_orbital                                 220 60  20  0
3121    wm_lh_G_paracentral                             60  100 60  0
3122    wm_lh_G_parietal_inferior_Angular_part          20  60  220 0
3123    wm_lh_G_parietal_inferior_Supramarginal_part    100 100 60  0
3124    wm_lh_G_parietal_superior                       220 180 220 0
3125    wm_lh_G_postcentral                             20  180 140 0
3126    wm_lh_G_precentral                              60  140 180 0
3127    wm_lh_G_precuneus                               25  20  140 0
3128    wm_lh_G_rectus                                  20  60  100 0
3129    wm_lh_G_subcallosal                             60  220 20  0
3130    wm_lh_G_subcentral                              60  20  220 0
3131    wm_lh_G_temporal_inferior                       220 220 100 0
3132    wm_lh_G_temporal_middle                         180 60  60  0
3133    wm_lh_G_temp_sup_G_temp_transv_and_interm_S     60  60  220 0
3134    wm_lh_G_temp_sup_Lateral_aspect                 220 60  220 0
3135    wm_lh_G_temp_sup_Planum_polare                  65  220 60  0
3136    wm_lh_G_temp_sup_Planum_tempolare               25  140 20  0
3137    wm_lh_G_and_S_transverse_frontopolar            13  0   250 0
3138    wm_lh_Lat_Fissure_ant_sgt_ramus_horizontal      61  20  220 0
3139    wm_lh_Lat_Fissure_ant_sgt_ramus_vertical        61  20  60  0
3140    wm_lh_Lat_Fissure_post_sgt                      61  60  100 0
3141    wm_lh_Medial_wall                               25  25  25  0
3142    wm_lh_Pole_occipital                            140 20  60  0
3143    wm_lh_Pole_temporal                             220 180 20  0
3144    wm_lh_S_calcarine                               63  180 180 0
3145    wm_lh_S_central                                 221 20  10  0
3146    wm_lh_S_central_insula                          21  220 20  0
3147    wm_lh_S_cingulate_Main_part_and_Intracingulate  183 100 20  0
3148    wm_lh_S_cingulate_Marginalis_part               221 20  100 0
3149    wm_lh_S_circular_insula_anterior                221 60  140 0
3150    wm_lh_S_circular_insula_inferior                221 20  220 0
3151    wm_lh_S_circular_insula_superior                61  220 220 0
3152    wm_lh_S_collateral_transverse_ant               100 200 200 0
3153    wm_lh_S_collateral_transverse_post              10  200 200 0
3154    wm_lh_S_frontal_inferior                        221 220 20  0
3155    wm_lh_S_frontal_middle                          141 20  100 0
3156    wm_lh_S_frontal_superior                        61  220 100 0
3157    wm_lh_S_frontomarginal                          21  220 60  0
3158    wm_lh_S_intermedius_primus_Jensen               141 60  20  0
3159    wm_lh_S_intraparietal_and_Parietal_transverse   143 20  220 0
3160    wm_lh_S_occipital_anterior                      61  20  180 0
3161    wm_lh_S_occipital_middle_and_Lunatus            101 60  220 0
3162    wm_lh_S_occipital_superior_and_transversalis    21  20  140 0
3163    wm_lh_S_occipito_temporal_lateral               221 140 20  0
3164    wm_lh_S_occipito_temporal_medial_and_S_Lingual  141 100 220 0
3165    wm_lh_S_orbital_H_shapped                       101 20  20  0
3166    wm_lh_S_orbital_lateral                         221 100 20  0
3167    wm_lh_S_orbital_medial_Or_olfactory             181 200 20  0
3168    wm_lh_S_paracentral                             21  180 140 0
3169    wm_lh_S_parieto_occipital                       101 100 180 0
3170    wm_lh_S_pericallosal                            181 220 20  0
3171    wm_lh_S_postcentral                             21  140 200 0
3172    wm_lh_S_precentral_Inferior_part                21  20  240 0
3173    wm_lh_S_precentral_Superior_part                21  20  200 0
3174    wm_lh_S_subcentral_ant                          61  180 60  0
3175    wm_lh_S_subcentral_post                         61  180 250 0
3176    wm_lh_S_suborbital                              21  20  60  0
3177    wm_lh_S_subparietal                             101 60  60  0
3178    wm_lh_S_supracingulate                          21  220 220 0
3179    wm_lh_S_temporal_inferior                       21  180 180 0
3180    wm_lh_S_temporal_superior                       223 220 60  0
3181    wm_lh_S_temporal_transverse                     221 60  60  0
4100    wm_rh_Unknown                                   0   0   0   0
4101    wm_rh_Corpus_callosum                           50  50  50  0
4102    wm_rh_G_and_S_Insula_ONLY_AVERAGE               180 20  30  0
4103    wm_rh_G_cingulate_Isthmus                       60  25  25  0
4104    wm_rh_G_cingulate_Main_part                     25  60  60  0
4105    wm_rh_G_cuneus                                  180 20  20  0
4106    wm_rh_G_frontal_inf_Opercular_part              220 20  100 0
4107    wm_rh_G_frontal_inf_Orbital_part                140 60  60  0
4108    wm_rh_G_frontal_inf_Triangular_part             180 220 140 0
4109    wm_rh_G_frontal_middle                          140 100 180 0
4110    wm_rh_G_frontal_superior                        180 20  140 0
4111    wm_rh_G_frontomarginal                          140 20  140 0
4112    wm_rh_G_insular_long                            21  10  10  0
4113    wm_rh_G_insular_short                           225 140 140 0
4114    wm_rh_G_and_S_occipital_inferior                23  60  180 0
4115    wm_rh_G_occipital_middle                        180 60  180 0
4116    wm_rh_G_occipital_superior                      20  220 60  0
4117    wm_rh_G_occipit_temp_lat_Or_fusiform            60  20  140 0
4118    wm_rh_G_occipit_temp_med_Lingual_part           220 180 140 0
4119    wm_rh_G_occipit_temp_med_Parahippocampal_part   65  100 20  0
4120    wm_rh_G_orbital                                 220 60  20  0
4121    wm_rh_G_paracentral                             60  100 60  0
4122    wm_rh_G_parietal_inferior_Angular_part          20  60  220 0
4123    wm_rh_G_parietal_inferior_Supramarginal_part    100 100 60  0
4124    wm_rh_G_parietal_superior                       220 180 220 0
4125    wm_rh_G_postcentral                             20  180 140 0
4126    wm_rh_G_precentral                              60  140 180 0
4127    wm_rh_G_precuneus                               25  20  140 0
4128    wm_rh_G_rectus                                  20  60  100 0
4129    wm_rh_G_subcallosal                             60  220 20  0
4130    wm_rh_G_subcentral                              60  20  220 0
4131    wm_rh_G_temporal_inferior                       220 220 100 0
4132    wm_rh_G_temporal_middle                         180 60  60  0
4133    wm_rh_G_temp_sup_G_temp_transv_and_interm_S     60  60  220 0
4134    wm_rh_G_temp_sup_Lateral_aspect                 220 60  220 0
4135    wm_rh_G_temp_sup_Planum_polare                  65  220 60  0
4136    wm_rh_G_temp_sup_Planum_tempolare               25  140 20  0
4137    wm_rh_G_and_S_transverse_frontopolar            13  0   250 0
4138    wm_rh_Lat_Fissure_ant_sgt_ramus_horizontal      61  20  220 0
4139    wm_rh_Lat_Fissure_ant_sgt_ramus_vertical        61  20  60  0
4140    wm_rh_Lat_Fissure_post_sgt                      61  60  100 0
4141    wm_rh_Medial_wall                               25  25  25  0
4142    wm_rh_Pole_occipital                            140 20  60  0
4143    wm_rh_Pole_temporal                             220 180 20  0
4144    wm_rh_S_calcarine                               63  180 180 0
4145    wm_rh_S_central                                 221 20  10  0
4146    wm_rh_S_central_insula                          21  220 20  0
4147    wm_rh_S_cingulate_Main_part_and_Intracingulate  183 100 20  0
4148    wm_rh_S_cingulate_Marginalis_part               221 20  100 0
4149    wm_rh_S_circular_insula_anterior                221 60  140 0
4150    wm_rh_S_circular_insula_inferior                221 20  220 0
4151    wm_rh_S_circular_insula_superior                61  220 220 0
4152    wm_rh_S_collateral_transverse_ant               100 200 200 0
4153    wm_rh_S_collateral_transverse_post              10  200 200 0
4154    wm_rh_S_frontal_inferior                        221 220 20  0
4155    wm_rh_S_frontal_middle                          141 20  100 0
4156    wm_rh_S_frontal_superior                        61  220 100 0
4157    wm_rh_S_frontomarginal                          21  220 60  0
4158    wm_rh_S_intermedius_primus_Jensen               141 60  20  0
4159    wm_rh_S_intraparietal_and_Parietal_transverse   143 20  220 0
4160    wm_rh_S_occipital_anterior                      61  20  180 0
4161    wm_rh_S_occipital_middle_and_Lunatus            101 60  220 0
4162    wm_rh_S_occipital_superior_and_transversalis    21  20  140 0
4163    wm_rh_S_occipito_temporal_lateral               221 140 20  0
4164    wm_rh_S_occipito_temporal_medial_and_S_Lingual  141 100 220 0
4165    wm_rh_S_orbital_H_shapped                       101 20  20  0
4166    wm_rh_S_orbital_lateral                         221 100 20  0
4167    wm_rh_S_orbital_medial_Or_olfactory             181 200 20  0
4168    wm_rh_S_paracentral                             21  180 140 0
4169    wm_rh_S_parieto_occipital                       101 100 180 0
4170    wm_rh_S_pericallosal                            181 220 20  0
4171    wm_rh_S_postcentral                             21  140 200 0
4172    wm_rh_S_precentral_Inferior_part                21  20  240 0
4173    wm_rh_S_precentral_Superior_part                21  20  200 0
4174    wm_rh_S_subcentral_ant                          61  180 60  0
4175    wm_rh_S_subcentral_post                         61  180 250 0
4176    wm_rh_S_suborbital                              21  20  60  0
4177    wm_rh_S_subparietal                             101 60  60  0
4178    wm_rh_S_supracingulate                          21  220 220 0
4179    wm_rh_S_temporal_inferior                       21  180 180 0
4180    wm_rh_S_temporal_superior                       223 220 60  0
4181    wm_rh_S_temporal_transverse                     221 60  60  0
5001    Left_UnsegmentedWhiteMatter                     20  30  40  0
5002    Right_UnsegmentedWhiteMatter                    20  30  40  0
5100   fmajor                                           204 102 102 0
5101   fminor                                           204 102 102 0
5102   lh.atr                                           255 255 102 0
5103   lh.cab                                           153 204 0   0
5104   lh.ccg                                           0   153 153 0
5105   lh.cst                                           204 153 255 0
5106   lh.ilf                                           255 153 51  0
5107   lh.slfp                                          204 204 204 0
5108   lh.slft                                          153 255 255 0
5109   lh.unc                                           102 153 255 0
5110   rh.atr                                           255 255 102 0
5111   rh.cab                                           153 204 0   0
5112   rh.ccg                                           0   153 153 0
5113   rh.cst                                           204 153 255 0
5114   rh.ilf                                           255 153 51  0
5115   rh.slfp                                          204 204 204 0
5116   rh.slft                                          153 255 255 0
5117   rh.unc                                           102 153 255 0
5200   CC_ForcepsMajor                                  204 102 102 0
5201   CC_ForcepsMinor                                  204 102 102 0
5202   LAntThalRadiation                                255 255 102 0
5203   LCingulumAngBundle                               153 204 0   0
5204   LCingulumCingGyrus                               0   153 153 0
5205   LCorticospinalTract                              204 153 255 0
5206   LInfLongFas                                      255 153 51  0
5207   LSupLongFasParietal                              204 204 204 0
5208   LSupLongFasTemporal                              153 255 255 0
5209   LUncinateFas                                     102 153 255 0
5210   RAntThalRadiation                                255 255 102 0
5211   RCingulumAngBundle                               153 204 0   0
5212   RCingulumCingGyrus                               0   153 153 0
5213   RCorticospinalTract                              204 153 255 0
5214   RInfLongFas                                      255 153 51  0
5215   RSupLongFasParietal                              204 204 204 0
5216   RSupLongFasTemporal                              153 255 255 0
5217   RUncinateFas                                     102 153 255 0
6000   CST_orig                                         0   255 0   0
6001   CST_hammer                                       255 255 0   0
6002   CST_CVS                                          0   255 255 0
6003   CST_flirt                                        0   0   255 0
6010   Left_SLF1                                        236 16  231 0
6020   Right_SLF1                                       237 18  232 0
6030   Left_SLF3                                        236 13  227 0
6040   Right_SLF3                                       236 17  228 0
6050   Left_CST                                         1   255 1   0
6060   Right_CST                                        2   255 1   0
6070   Left_SLF2                                        236 14  230 0
6080   Right_SLF2                                       237 14  230 0
7001  Lateral_nucleus                                   72  132 181 0
7002  Basolateral_nucleus                               243 243 243 0
7003  Basal_nucleus                                     207 63  79  0
7004  Centromedial_nucleus                              121 20  135 0
7005  Central_nucleus                                   197 60  248 0
7006  Medial_nucleus                                    2   149 2   0
7007  Cortical_nucleus                                  221 249 166 0
7008  Accessory_Basal_nucleus                           232 146 35  0
7009  Corticoamygdaloid_transitio                       20  60  120 0
7010  Anterior_amygdaloid_area_AAA                      250 250 0   0
7011  Fusion_amygdala_HP_FAH                            122 187 222 0
7012  Hippocampal_amygdala_transition_HATA              237 12  177 0
7013  Endopiriform_nucleus                              10  49  255 0
7014  Lateral_nucleus_olfactory_tract                   205 184 144 0
7015  Paralaminar_nucleus                               45  205 165 0
7016  Intercalated_nucleus                              117 160 175 0
7017  Prepiriform_cortex                                221 217 21  0
7018  Periamygdaloid_cortex                             20  60  120 0
7019  Envelope_Amygdala                                 141 21  100 0
7020  Extranuclear_Amydala                              225 140 141 0
7100  Brainstem_inferior_colliculus                     42  201 168 0
7101  Brainstem_cochlear_nucleus                        168 104 162 0
8001  Thalamus_Anterior                                 74  130 181 0
8002  Thalamus_Ventral_anterior                         242 241 240 0
8003  Thalamus_Lateral_dorsal                           206 65  78  0
8004  Thalamus_Lateral_posterior                        120 21  133 0
8005  Thalamus_Ventral_lateral                          195 61  246 0
8006  Thalamus_Ventral_posterior_medial                 3   147 6   0
8007  Thalamus_Ventral_posterior_lateral                220 251 163 0
8008  Thalamus_intralaminar                             232 146 33  0
8009  Thalamus_centromedian                             4   114 14  0
8010  Thalamus_mediodorsal                              121 184 220 0
8011  Thalamus_medial                                   235 11  175 0
8012  Thalamus_pulvinar                                 12  46  250 0
8013  Thalamus_lateral_geniculate                       203 182 143 0
8014  Thalamus_medial_geniculate                        42  204 167 0
9000    ctx_lh_prefrontal                   50  100 30  0
9001    ctx_lh_primary_motor                30  100 45  0
9002    ctx_lh_premotor                     130 100 165 0
9003    ctx_lh_temporal                     105 25  5   0
9004    ctx_lh_posterior_parietal           125 70  55  0
9005    ctx_lh_prim_sec_somatosensory       225 20  105 0
9006    ctx_lh_occipital                    225 20  15  0
9500    ctx_rh_prefrontal                   50  200  30  0
9501    ctx_rh_primary_motor                30  150 45  0
9502    ctx_rh_premotor                     130 150 165 0
9503    ctx_rh_temporal                     105 75  5   0
9504    ctx_rh_posterior_parietal           125 120 55  0
9505    ctx_rh_prim_sec_somatosensory       225 70  105 0
9506    ctx_rh_occipital                    225 70  15  0
11100  ctx_lh_Unknown                           0   0   0   0
11101  ctx_lh_G_and_S_frontomargin             23 220  60   0
11102  ctx_lh_G_and_S_occipital_inf            23  60 180   0
11103  ctx_lh_G_and_S_paracentral              63 100  60   0
11104  ctx_lh_G_and_S_subcentral               63  20 220   0
11105  ctx_lh_G_and_S_transv_frontopol         13   0 250   0
11106  ctx_lh_G_and_S_cingul_Ant               26  60   0   0
11107  ctx_lh_G_and_S_cingul_Mid_Ant           26  60  75   0
11108  ctx_lh_G_and_S_cingul_Mid_Post          26  60 150   0
11109  ctx_lh_G_cingul_Post_dorsal             25  60 250   0
11110  ctx_lh_G_cingul_Post_ventral            60  25  25   0
11111  ctx_lh_G_cuneus                        180  20  20   0
11112  ctx_lh_G_front_inf_Opercular           220  20 100   0
11113  ctx_lh_G_front_inf_Orbital             140  60  60   0
11114  ctx_lh_G_front_inf_Triangul            180 220 140   0
11115  ctx_lh_G_front_middle                  140 100 180   0
11116  ctx_lh_G_front_sup                     180  20 140   0
11117  ctx_lh_G_Ins_lg_and_S_cent_ins          23  10  10   0
11118  ctx_lh_G_insular_short                 225 140 140   0
11119  ctx_lh_G_occipital_middle              180  60 180   0
11120  ctx_lh_G_occipital_sup                  20 220  60   0
11121  ctx_lh_G_oc_temp_lat_fusifor            60  20 140   0
11122  ctx_lh_G_oc_temp_med_Lingual           220 180 140   0
11123  ctx_lh_G_oc_temp_med_Parahip            65 100  20   0
11124  ctx_lh_G_orbital                       220  60  20   0
11125  ctx_lh_G_pariet_inf_Angular             20  60 220   0
11126  ctx_lh_G_pariet_inf_Supramar           100 100  60   0
11127  ctx_lh_G_parietal_sup                  220 180 220   0
11128  ctx_lh_G_postcentral                    20 180 140   0
11129  ctx_lh_G_precentral                     60 140 180   0
11130  ctx_lh_G_precuneus                      25  20 140   0
11131  ctx_lh_G_rectus                         20  60 100   0
11132  ctx_lh_G_subcallosal                    60 220  20   0
11133  ctx_lh_G_temp_sup_G_T_transv            60  60 220   0
11134  ctx_lh_G_temp_sup_Lateral              220  60 220   0
11135  ctx_lh_G_temp_sup_Plan_polar            65 220  60   0
11136  ctx_lh_G_temp_sup_Plan_tempo            25 140  20   0
11137  ctx_lh_G_temporal_inf                  220 220 100   0
11138  ctx_lh_G_temporal_middle               180  60  60   0
11139  ctx_lh_Lat_Fis_ant_Horizont             61  20 220   0
11140  ctx_lh_Lat_Fis_ant_Vertical             61  20  60   0
11141  ctx_lh_Lat_Fis_post                     61  60 100   0
11142  ctx_lh_Medial_wall                      25  25  25   0
11143  ctx_lh_Pole_occipital                  140  20  60   0
11144  ctx_lh_Pole_temporal                   220 180  20   0
11145  ctx_lh_S_calcarine                      63 180 180   0
11146  ctx_lh_S_central                       221  20  10   0
11147  ctx_lh_S_cingul_Marginalis             221  20 100   0
11148  ctx_lh_S_circular_insula_ant           221  60 140   0
11149  ctx_lh_S_circular_insula_inf           221  20 220   0
11150  ctx_lh_S_circular_insula_sup            61 220 220   0
11151  ctx_lh_S_collat_transv_ant             100 200 200   0
11152  ctx_lh_S_collat_transv_post             10 200 200   0
11153  ctx_lh_S_front_inf                     221 220  20   0
11154  ctx_lh_S_front_middle                  141  20 100   0
11155  ctx_lh_S_front_sup                      61 220 100   0
11156  ctx_lh_S_interm_prim_Jensen            141  60  20   0
11157  ctx_lh_S_intrapariet_and_P_trans       143  20 220   0
11158  ctx_lh_S_oc_middle_and_Lunatus         101  60 220   0
11159  ctx_lh_S_oc_sup_and_transversal         21  20 140   0
11160  ctx_lh_S_occipital_ant                  61  20 180   0
11161  ctx_lh_S_oc_temp_lat                   221 140  20   0
11162  ctx_lh_S_oc_temp_med_and_Lingual       141 100 220   0
11163  ctx_lh_S_orbital_lateral               221 100  20   0
11164  ctx_lh_S_orbital_med_olfact            181 200  20   0
11165  ctx_lh_S_orbital_H_Shaped              101  20  20   0
11166  ctx_lh_S_parieto_occipital             101 100 180   0
11167  ctx_lh_S_pericallosal                  181 220  20   0
11168  ctx_lh_S_postcentral                    21 140 200   0
11169  ctx_lh_S_precentral_inf_part            21  20 240   0
11170  ctx_lh_S_precentral_sup_part            21  20 200   0
11171  ctx_lh_S_suborbital                     21  20  60   0
11172  ctx_lh_S_subparietal                   101  60  60   0
11173  ctx_lh_S_temporal_inf                   21 180 180   0
11174  ctx_lh_S_temporal_sup                  223 220  60   0
11175  ctx_lh_S_temporal_transverse           221  60  60   0
12100  ctx_rh_Unknown                           0   0   0   0
12101  ctx_rh_G_and_S_frontomargin             23 220  60   0
12102  ctx_rh_G_and_S_occipital_inf            23  60 180   0
12103  ctx_rh_G_and_S_paracentral              63 100  60   0
12104  ctx_rh_G_and_S_subcentral               63  20 220   0
12105  ctx_rh_G_and_S_transv_frontopol         13   0 250   0
12106  ctx_rh_G_and_S_cingul_Ant               26  60   0   0
12107  ctx_rh_G_and_S_cingul_Mid_Ant           26  60  75   0
12108  ctx_rh_G_and_S_cingul_Mid_Post          26  60 150   0
12109  ctx_rh_G_cingul_Post_dorsal             25  60 250   0
12110  ctx_rh_G_cingul_Post_ventral            60  25  25   0
12111  ctx_rh_G_cuneus                        180  20  20   0
12112  ctx_rh_G_front_inf_Opercular           220  20 100   0
12113  ctx_rh_G_front_inf_Orbital             140  60  60   0
12114  ctx_rh_G_front_inf_Triangul            180 220 140   0
12115  ctx_rh_G_front_middle                  140 100 180   0
12116  ctx_rh_G_front_sup                     180  20 140   0
12117  ctx_rh_G_Ins_lg_and_S_cent_ins          23  10  10   0
12118  ctx_rh_G_insular_short                 225 140 140   0
12119  ctx_rh_G_occipital_middle              180  60 180   0
12120  ctx_rh_G_occipital_sup                  20 220  60   0
12121  ctx_rh_G_oc_temp_lat_fusifor            60  20 140   0
12122  ctx_rh_G_oc_temp_med_Lingual           220 180 140   0
12123  ctx_rh_G_oc_temp_med_Parahip            65 100  20   0
12124  ctx_rh_G_orbital                       220  60  20   0
12125  ctx_rh_G_pariet_inf_Angular             20  60 220   0
12126  ctx_rh_G_pariet_inf_Supramar           100 100  60   0
12127  ctx_rh_G_parietal_sup                  220 180 220   0
